round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
9,0,3744,1.0900243637908218,0.23563043773174286,0.12744876969553534,0.9212724274662843,0.21862966205180798,0.24353074311580536,"[0.35758106923751093, 0.15732546705998032, 0.3957968476357268, 0.4331103678929766, 0.22537878787878787, 0.24716981132075472, 0.09164969450101833, 0.2318271119842829, 0.24554826616682288, 0.1722282023681378, 0.12740141557128412, 0.1734860883797054, 0.2023121387283237, 0.0]",0.6485381400584938,0.25,0.25529322291397405,0.2521172891655896
9,1,3744,1.0718687917941656,0.22228997945785522,0.12248707608774279,0.9179352984556675,0.20993563640147814,0.23569074018579564,"[0.35532102022867196, 0.14638971315529178, 0.4143835616438356, 0.4175824175824176, 0.22369668246445498, 0.27162790697674416, 0.07226354941551541, 0.2361904761904762, 0.21875, 0.13664596273291926, 0.12036108324974924, 0.11475409836065574, 0.21113243761996162, 0.0]",0.6320641968124532,0.25,0.24248820772082297,0.2469952830883292
9,2,3744,1.0839918461110858,0.25468820333480835,0.1353755417577057,0.9672747819662865,0.23050865242076982,0.24832782347966478,"[0.32707774798927614, 0.16354679802955666, 0.42830540037243947, 0.4492512479201331, 0.2634508348794063, 0.2495049504950495, 0.09164969450101833, 0.22178988326848248, 0.25806451612903225, 0.23778501628664495, 0.1541501976284585, 0.15536374845869297, 0.17898832684824903, 0.04819277108433735]",0.6508279967524598,0.25,0.25709918276311144,0.2528396731052446
9,3,3744,1.088206566297091,0.22244244813919067,0.12954370965899628,0.9452606814886363,0.2216422118376069,0.24073246985261276,"[0.356140350877193, 0.14271555996035679, 0.40244969378827644, 0.44739022369511183, 0.25512104283054005, 0.24155578300921188, 0.0720164609053498, 0.24390243902439024, 0.22136669874879691, 0.15315315315315314, 0.14414414414414414, 0.14169570267131243, 0.20861244019138755, 0.07272727272727272]",0.635484129874872,0.25,0.24511938660209165,0.24804775464083667
10,0,3744,1.086365573783206,0.23852720856666565,0.12830518291412482,0.9215773088301539,0.21960759551175907,0.24388766936643705,"[0.36088888888888887, 0.15732546705998032, 0.40619307832422585, 0.4331103678929766, 0.22537878787878787, 0.24835371589840075, 0.09211873080859775, 0.2262357414448669, 0.24670433145009416, 0.20352781546811397, 0.126, 0.14596670934699105, 0.20270270270270271, 0.0]",0.6503564245797175,0.25,0.25544274323272176,0.2521770972930887
10,1,3744,1.0695757450711014,0.22267113626003265,0.1223019112962895,0.9143447637923262,0.20946947882610364,0.2347467166979362,"[0.35638297872340424, 0.14638971315529178, 0.4113597246127367, 0.4172297297297297, 0.22369668246445498, 0.27137546468401486, 0.07209062821833162, 0.23728813559322035, 0.21414913957934992, 0.12121212121212122, 0.12170385395537525, 0.12754409769335143, 0.21215043394406943, 0.0]",0.635800820880047,0.25,0.24413658677056416,0.24765463470822566
10,2,3744,1.0811112325415653,0.21420948207378387,0.12996656485639876,0.9544642857142858,0.22313359110397282,0.24150110375275938,"[0.32707774798927614, 0.16290480863591755, 0.4064625850340136, 0.44867549668874174, 0.2632066728452271, 0.24470134874759153, 0.09164969450101833, 0.21863117870722434, 0.2339405560882071, 0.18377088305489261, 0.15445544554455445, 0.1381509032943677, 0.17881438289601556, 0.07142857142857142]",0.6492399076623477,0.25,0.25456641967904586,0.25182656787161833
10,3,3744,1.0849014533381176,0.3078213036060333,0.13265053082304545,0.8438270400984396,0.22161683039552896,0.24846879655686144,"[0.35645302897278314, 0.14428857715430862, 0.41035120147874304, 0.44739022369511183, 0.2560747663551402, 0.22894985808893092, 0.0720164609053498, 0.23736263736263735, 0.21863117870722434, 0.13953488372093023, 0.14698162729658792, 0.2047930283224401, 0.23980815347721823, 0.0]",0.6380335417863535,0.25,0.24585425031766822,0.2483417001270673
11,0,3744,1.0832946710097484,0.23829852044582367,0.12831638802963322,0.9216107715081013,0.219639556750646,0.24394673123486682,"[0.35978835978835977, 0.15763546798029557, 0.41030358785648574, 0.4331103678929766, 0.22537878787878787, 0.25, 0.09164969450101833, 0.22559241706161137, 0.2448210922787194, 0.17278617710583152, 0.12650602409638553, 0.17170111287758347, 0.20568070519098922, 0.0]",0.6562408553165796,0.25,0.25212068615317873,0.2508482744612715
11,1,3744,1.063630459502212,0.23120902478694916,0.1232693493764651,0.9122500150449601,0.21082988724051724,0.23627413858386975,"[0.354295837023915, 0.14638971315529178, 0.41622574955908287, 0.4172297297297297, 0.22369668246445498, 0.2718808193668529, 0.0720164609053498, 0.24055666003976142, 0.2172211350293542, 0.12698412698412698, 0.12096774193548387, 0.12568306010928962, 0.21847070506454816, 0.0]",0.6474848516347597,0.25,0.24543764530239837,0.24817505812095936
11,2,3744,1.0773141202763614,0.2645220160484314,0.13553160058672342,0.9221064315163083,0.23063426332166556,0.2506989748369059,"[0.32707774798927614, 0.16370808678500987, 0.4216120460584588, 0.4494195688225539, 0.26590693257359926, 0.25149700598802394, 0.09164969450101833, 0.24425634824667472, 0.23349282296650717, 0.1764032073310424, 0.16904761904761906, 0.1641025641025641, 0.18737270875763748, 0.08333333333333333]",0.6519649541839433,0.25,0.24884587938305733,0.24953835175322292
