round,client_id,accuracy,precision,recall,f1_score,auc_roc,num_samples
26,2,0.9923312883435583,0.9919436052366566,0.9979736575481256,0.9949494949494949,0.9997762713381211,1304
26,3,0.99079754601227,0.9879275653923542,1.0,0.9939271255060729,0.9998355492024136,1304
26,4,0.9961656441717791,0.9947589098532494,1.0,0.9973725696269049,0.9999851585805667,1304
27,1,0.9900306748466258,0.9896265560165975,0.9968652037617555,0.9932326913066112,0.9992019971151443,1304
27,2,0.9915644171779141,0.9899598393574297,0.9989868287740629,0.994452849218356,0.9998018403280501,1304
27,3,0.9892638036809815,0.9859437751004017,1.0,0.9929221435793731,0.9999399122085741,1304
27,4,0.9946319018404908,0.9937106918238994,0.9989462592202318,0.9963215974776668,0.99997328544502,1304
28,1,0.9915644171779141,0.9989451476793249,0.9895506792058516,0.9942257217847769,0.9993405183706286,1304
28,2,0.9930981595092024,0.9979633401221996,0.9929078014184397,0.9954291518537328,0.9998817434215783,1304
28,3,0.9961656441717791,0.9989785495403473,0.9959266802443992,0.9974502804691484,0.9999240996318832,1304
28,4,0.995398773006135,1.0,0.9936775553213909,0.9968287526427061,0.99998219029668,1304
29,1,0.9938650306748467,0.9989484752891693,0.9926854754440961,0.9958071278825996,0.9994519376413444,1304
29,2,0.9938650306748467,0.9989806320081549,0.9929078014184397,0.9959349593495935,0.9999137046589895,1304
29,3,0.9976993865030674,1.0,0.9969450101832994,0.998470168281489,0.9999557247852652,1304
29,4,0.9976993865030674,1.0,0.9968387776606955,0.9984168865435357,0.9999881268644534,1304
30,1,0.9969325153374233,0.9989528795811519,0.9968652037617555,0.997907949790795,0.9995061416108817,1304
30,2,0.9946319018404908,0.9969574036511156,0.9959473150962512,0.9964521033958439,0.9999169007827307,1304
30,3,0.9961656441717791,0.9959390862944163,0.9989816700610998,0.9974580579562786,0.9999778623926325,1304
